model_key,program,ata,variant,model_detail
A320:21:NAN,A320,21,NAN,
A320:27:NAN,A320,27,NAN,
A330:21:NAN,A330,21,NAN,
A350:21:NAN,A350,21,NAN,
A350:27:NAN,A350,27,NAN,
A350:36:NAN,A350,36,NAN,
A320:32:NAN,A320,32,NAN,
A350:27:NAN,A350,27,NAN,Fcfs
A320:36:CEO,A320,36,CEO,
A320:36:NEO,A320,36,NEO,
A330:32:NAN,A330,32,NAN,
A330:36:NEO,A330,36,NEO,
A330:36:CEO,A330,36,CEO,
A350:24:NAN,A350,24,NAN,
A350:29:NAN,A350,29,NAN,
A320:36:NAN,A320,36,NAN,
A350:32:NAN,A350,32,NAN,
A320:21:NONE,A320,21,NONE,
A320:27:NONE,A320,27,NONE,
A330:21:NONE,A330,21,NONE,
A350:21:NONE,A350,21,NONE,
A350:27:NONE,A350,27,NONE,
A350:36:NONE,A350,36,NONE,
A320:32:NONE,A320,32,NONE,
A350:27:NONE,A350,27,NONE,Fcfs
A330:32:NONE,A330,32,NONE,
A350:24:NONE,A350,24,NONE,
A350:29:NONE,A350,29,NONE,
A320:36:NONE,A320,36,NONE,
A350:32:NONE,A350,32,NONE,
